ID,LANGUAGE_ID,ACRONYM,LABEL
GP1007,MT,IND/DEM,Grupp għall-Indipendenza/Demokrazija
GP1007,NL,IND/DEM,Fractie Onafhankelijkheid/Democratie
GP1007,PL,IND/DEM,Grupa Niepodległość/Demokracja
GP1007,PT,IND/DEM,Grupo Independência/Democracia
GP1007,RO,IND/DEM,Grupul Independență și Democrație
GP1007,SK,IND/DEM,Skupina Nezávislosť/Demokracia
GP1007,SL,IND/DEM,Skupina Neodvisnosti/Demokracije
GP1007,SV,IND/DEM,gruppen Självständighet/Demokrati
NA,EN,NI,Non-attached Members
NA,ES,NI,No inscritos
NA,BG,НЧ,Независими членове
NA,CS,NI,Nezařazení poslanci
NA,DA,NI,Løsgængere
NA,DE,NI,Fraktionslos
NA,EL,NI,Μη Εγγεγραμμένοι
NA,ET,NI,Fraktsioonilise kuuluvuseta parlamendiliikmed
NA,FI,NI,Sitoutumattomat
NA,FR,NI,Non-inscrits
NA,GA,NI,Feisirí Neamhcheangailte
NA,HR,NI,Nezavisni zastupnici
NA,HU,NI,független képviselők
NA,IT,NI,Non iscritti
NA,LV,NI,Pie politiskajām grupām nepiederošie deputāti
NA,LT,NI,Nepriklausomi nariai
NA,MT,NI,Membri mhux affiljati
NA,NL,NI,Niet-fractiegebonden leden
NA,PL,NI,Niezrzeszeni
NA,PT,NI,Não Inscritos
NA,RO,NI,Deputați neafiliați
NA,SK,NI,Nezaradení poslanci
NA,SL,NI,Samostojni poslanci
NA,SV,NI,Grupplösa
